season,round,race_name,driver,team,grid_position,finish_position,points,status,laps,avg_finish_last5,weighted_finish_form,finish_std_last5,is_dnf,dnf_rate_last5,position_gain,avg_position_gain,team_avg_points_last3,teammate_delta,driver_vs_field,circuit_avg_finish,circuit_avg_gain,driver_points_before_race,team_points_before_race,driver_rank_before_race,prev_team,team_changed
2022,1,Bahrain Grand Prix,ALB,Williams,14.0,13.0,0.0,Finished,57.0,13.395925925925924,11.458074934189096,4.0,0,0.2,1.0,-0.2,2.3333333333333335,0.0,0.7499999999999997,10.385620915032678,-0.5261437908496732,72.0,174.0,10.0,,1
2022,2,Saudi Arabian Grand Prix,ALB,Williams,16.0,14.0,0.0,Collision damage,47.0,13.0,13.0,4.0,1,0.0,2.0,1.0,0.0,-1.5,2.4499999999999993,10.303921568627452,-0.5686274509803922,0.0,0.0,11.0,Williams,0
2022,3,Australian Grand Prix,ALB,Williams,20.0,10.0,1.0,Finished,58.0,13.5,13.6,0.7071067811865476,0,0.5,10.0,1.5,0.0,-2.5,2.4499999999999993,9.91156462585034,-0.5748299319727891,0.0,0.0,15.0,Williams,0
2022,4,Emilia Romagna Grand Prix,ALB,Williams,18.0,11.0,0.0,+1 Lap,62.0,12.333333333333334,11.894736842105262,2.081665999466133,0,0.3333333333333333,7.0,4.333333333333333,0.3333333333333333,-2.6666666666666665,1.366666666666666,9.838709677419354,-0.8870967741935484,1.0,1.0,15.0,Williams,0
2022,5,Miami Grand Prix,ALB,Williams,18.0,9.0,2.0,Finished,57.0,12.0,11.523076923076923,1.8257418583505538,0,0.25,9.0,5.0,0.3333333333333333,-2.625,1.1124999999999994,10.036666666666667,-0.5800000000000001,1.0,1.0,16.0,Williams,0
2022,6,Spanish Grand Prix,ALB,Williams,18.0,18.0,0.0,+2 Laps,64.0,11.4,10.554502369668247,2.0736441353327724,0,0.2,0.0,5.8,1.0,-2.6,0.5299999999999994,10.006802721088436,-0.3537414965986395,3.0,3.0,15.0,Williams,0
2022,7,Monaco Grand Prix,ALB,Williams,16.0,21.0,0.0,Mechanical,48.0,12.4,13.275187969924815,3.646916505762094,1,0.2,-5.0,5.6,0.6666666666666666,-2.1,1.5099999999999993,9.936666666666667,-0.2833333333333333,3.0,3.0,16.0,Williams,0
2022,8,Azerbaijan Grand Prix,ALB,Williams,17.0,12.0,0.0,+1 Lap,50.0,13.8,16.01019912578922,5.357238094391549,0,0.2,5.0,4.2,0.6666666666666666,-0.8,3.0599999999999996,10.183333333333332,-0.64,3.0,3.0,16.0,Williams,0
2022,9,Canadian Grand Prix,ALB,Williams,12.0,13.0,0.0,Finished,70.0,14.2,14.619191118160193,5.06951674225463,0,0.2,-1.0,3.2,0.0,-0.5,3.4199999999999995,9.88,-0.10999999999999999,3.0,3.0,16.0,Williams,0
2022,10,British Grand Prix,ALB,Williams,16.0,21.0,0.0,Collision,0.0,14.6,14.065046163476087,4.8270073544588685,1,0.2,-5.0,1.6,0.0,-0.3,3.79,10.88,-1.646666666666667,3.0,3.0,17.0,Williams,0
2022,11,Austrian Grand Prix,ALB,Williams,15.0,12.0,0.0,+1 Lap,70.0,17.0,16.417492460146487,4.301162633521313,0,0.4,3.0,-1.2,0.0,1.1,6.04,10.166666666666668,-1.2233333333333334,3.0,3.0,18.0,Williams,0
