iter	RMSE
0	4.922996917
1	4.803183532
2	4.697863365
3	4.59649979
4	4.504221457
5	4.407750216
6	4.313997348
7	4.223813132
8	4.141873575
9	4.063303066
10	3.991258485
11	3.918906966
12	3.85130461
13	3.797073713
14	3.739156548
15	3.682289364
16	3.62653366
17	3.575489404
18	3.523256584
19	3.47793063
20	3.432756329
21	3.385985848
22	3.343135175
23	3.304940385
24	3.266041266
25	3.22990499
26	3.194498519
27	3.163275775
28	3.131413658
29	3.099127832
30	3.071649412
31	3.04431646
32	3.017544531
33	2.991225795
34	2.965597044
35	2.943031077
36	2.921478776
37	2.900515402
38	2.881060863
39	2.860658902
40	2.840936924
41	2.824828918
42	2.807159169
43	2.790981769
44	2.771685084
45	2.755651425
46	2.742313128
47	2.728862714
48	2.717675056
49	2.702960124
50	2.690364185
51	2.677759318
52	2.665879838
53	2.653053074
54	2.64090273
55	2.63112653
56	2.619590477
57	2.607512472
58	2.599293346
59	2.590892845
60	2.574108435
61	2.565954867
62	2.555730094
63	2.544455888
64	2.535883425
65	2.528078275
66	2.52230734
67	2.512601655
68	2.506446186
69	2.496427836
70	2.487590403
71	2.477051257
72	2.467371282
73	2.45833388
74	2.450310069
75	2.445105465
76	2.437004372
77	2.429548165
78	2.42245481
79	2.419515544
80	2.413567085
81	2.405902012
82	2.399260281
83	2.393398965
84	2.386157958
85	2.381395704
86	2.374816667
87	2.369383692
88	2.363591783
89	2.35845065
90	2.351966138
91	2.346152256
92	2.339199681
93	2.3338657
94	2.328375505
95	2.321687848
96	2.317973013
97	2.311358107
98	2.305353077
99	2.300072935
100	2.294577906
101	2.288961135
102	2.283040039
103	2.277593826
104	2.271369719
105	2.268449437
106	2.263596831
107	2.258094672
108	2.251563406
109	2.248529997
110	2.244963046
111	2.241607778
112	2.237418692
113	2.233111719
114	2.228751597
115	2.222533754
116	2.217371359
117	2.214969838
118	2.209583222
119	2.203829377
120	2.198985997
121	2.193664066
122	2.18695993
123	2.181728939
124	2.174389532
125	2.167857406
126	2.162974125
127	2.158773783
128	2.15541301
129	2.150050376
130	2.146438542
131	2.142880856
132	2.136519143
133	2.13155641
134	2.125470659
135	2.121002657
136	2.116247459
137	2.111774386
138	2.10690679
139	2.104007848
140	2.100395604
141	2.097921685
142	2.094882207
143	2.087652033
144	2.083520257
145	2.077833321
146	2.073741552
147	2.069029596
148	2.064590167
149	2.059699886
150	2.055632723
151	2.050794988
152	2.047900422
153	2.041769915
154	2.037942758
155	2.033089102
156	2.029048763
157	2.025565763
158	2.019745884
159	2.015639725
160	2.010577207
161	2.006872857
162	2.003519551
163	2.000177846
164	1.994952254
165	1.992743853
166	1.989260927
167	1.983386682
168	1.980475813
169	1.978374578
170	1.973660821
171	1.969439891
172	1.96763551
173	1.965338763
174	1.958899559
175	1.95682608
176	1.952702916
177	1.947667688
178	1.945986407
179	1.939626405
180	1.935707897
181	1.931047035
182	1.927342465
183	1.920284953
184	1.914435404
185	1.909439927
186	1.903214129
187	1.900659083
188	1.899476272
189	1.897531304
190	1.888866333
191	1.882886029
192	1.881000798
193	1.877284702
194	1.874896325
195	1.868484653
196	1.864516658
197	1.861172293
198	1.857033386
199	1.856207319
200	1.854928173
201	1.853028068
202	1.848457662
203	1.847232621
204	1.843249675
205	1.839973691
206	1.837213997
207	1.83348124
208	1.831498714
209	1.830134443
210	1.829529436
211	1.825417219
212	1.824845162
213	1.824383628
214	1.822908726
215	1.820050097
216	1.816859725
217	1.815266347
218	1.814759652
219	1.812191734
220	1.807160009
221	1.805080501
222	1.80132537
223	1.798200613
224	1.794004181
225	1.79326995
226	1.792817305
227	1.787467051
228	1.782410809
229	1.778481082
230	1.774377589
231	1.772466657
232	1.768720194
233	1.768213442
234	1.767737046
235	1.764827519
236	1.762652232
237	1.756845437
238	1.751728359
239	1.74701702
240	1.742544372
241	1.739824493
242	1.734811294
243	1.734375508
244	1.731950675
245	1.727345971
246	1.724387246
247	1.720019559
248	1.716509261
249	1.7159133
250	1.715469254
251	1.711679662
252	1.707632607
253	1.702994983
254	1.698696601
255	1.691249029
256	1.687230736
257	1.681883483
258	1.680373164
259	1.675362138
260	1.671085247
261	1.667758559
262	1.667323351
263	1.661642314
264	1.656793623
265	1.652218053
266	1.648953965
267	1.646161869
268	1.641901032
269	1.641627114
270	1.638296933
271	1.63473923
272	1.631242338
273	1.627840199
274	1.625068764
275	1.621375168
276	1.618049244
277	1.614555373
278	1.613035677
279	1.609282892
280	1.608997022
281	1.605167239
282	1.601092219
283	1.597344563
284	1.594627256
285	1.5941052
286	1.59321217
287	1.590413216
288	1.588593511
289	1.582983795
290	1.580824628
291	1.579991303
292	1.575438202
293	1.574833652
294	1.572020556
295	1.567928164
296	1.565338848
297	1.562310649
298	1.559691681
299	1.553087897
